Name,Total,Sex,Year,Frequency
BRITT,16,2.0,1915.0,0
BRITTANEY,7,2.0,1915.0,0
BRITTANI,67,2.0,1915.0,0
BRITTANIE,6,2.0,1915.0,0
BRITTANY,2905,2.0,1915.0,0
BRITTNEY,555,2.0,1915.0,0
BRITTNI,54,2.0,1915.0,0
BRITTNY,13,2.0,1915.0,0
BROCK,631,1.0,1915.0,0
BRODERICK,5,1.0,1915.0,0
BRODIE,590,1.0,1915.0,0
BRODY,1166,1.0,1915.0,0
BROGAN,6,1.0,1915.0,0
BRONSON,63,1.0,1915.0,0
BRONTE,14,2.0,1915.0,0
BRONWEN,19,2.0,1915.0,0
BRONWYN,232,2.0,1915.0,0
BROOK,33,1.0,1915.0,0
BROOK,36,2.0,1915.0,0
BROOKE,1764,2.0,1915.0,0
BROOKE-LYNN,10,2.0,1915.0,0
BROOKLYN,1525,2.0,1915.0,0
BROOKLYNN,362,2.0,1915.0,0
BROOKLYNNE,5,2.0,1915.0,0
BROOKS,16,1.0,1915.0,0
BRUCE,5119,1.0,1915.0,6
BRUNO,116,1.0,1915.0,0
BRYAN,3203,1.0,1915.0,0
BRYANNA,61,2.0,1915.0,0
BRYANNE,17,2.0,1915.0,0
BRYANT,23,1.0,1915.0,0
BRYCE,1263,1.0,1915.0,0
BRYCEN,5,1.0,1915.0,0
BRYDEN,48,1.0,1915.0,0
BRYN,53,1.0,1915.0,0
BRYN,65,2.0,1915.0,0
BRYNLEE,21,2.0,1915.0,0
BRYNN,296,2.0,1915.0,0
BRYNNA,7,2.0,1915.0,0
BRYNNE,5,2.0,1915.0,0
BRYON,59,1.0,1915.0,0
BRYSON,229,1.0,1915.0,0
BRYTON,21,1.0,1915.0,0
BUDDY,5,1.0,1915.0,0
BUFFY,17,2.0,1915.0,0
BURTON,5,1.0,1915.0,0
BYRON,798,1.0,1915.0,0
CADE,103,1.0,1915.0,0
CADEN,379,1.0,1915.0,0
CADENCE,253,2.0,1915.0,0
CAEDEN,5,1.0,1915.0,0
CAEL,15,1.0,1915.0,0
CAELAN,95,1.0,1915.0,0
CAELUM,9,1.0,1915.0,0
CAIDEN,82,1.0,1915.0,0
CAILIN,5,2.0,1915.0,0
CAILYN,17,2.0,1915.0,0
CAITLIN,1704,2.0,1915.0,0
CAITLYN,719,2.0,1915.0,0
CAITLYNN,20,2.0,1915.0,0
CAIUS,21,1.0,1915.0,0
CAL,5,1.0,1915.0,0
CALE,118,1.0,1915.0,0
CALEB,2159,1.0,1915.0,0
CALEIGH,32,2.0,1915.0,0
CALEN,17,1.0,1915.0,0
CALEY,10,2.0,1915.0,0
CALI,120,2.0,1915.0,0
CALISTA,62,2.0,1915.0,0
CALLA,79,2.0,1915.0,0
CALLAN,12,1.0,1915.0,0
CALLEIGH,23,2.0,1915.0,0
CALLEN,20,1.0,1915.0,0
CALLI,6,2.0,1915.0,0
CALLIA,5,2.0,1915.0,0
CALLIE,232,2.0,1915.0,0
CALLISTA,20,2.0,1915.0,0
CALLUM,652,1.0,1915.0,0
CALUM,105,1.0,1915.0,0
CALVIN,1872,1.0,1915.0,0
CAMDEN,49,1.0,1915.0,0
CAMERON,5094,1.0,1915.0,0
CAMERON,98,2.0,1915.0,0
CAMILA,75,2.0,1915.0,0
CAMILLA,55,2.0,1915.0,0
CAMILLE,500,2.0,1915.0,0
CAMPBELL,30,1.0,1915.0,0
CAMRON,10,1.0,1915.0,0
CAMRYN,284,2.0,1915.0,0
CANDACE,1022,2.0,1915.0,0
CANDICE,1169,2.0,1915.0,0
CANDIS,5,2.0,1915.0,0
CANDY,28,2.0,1915.0,0
CAPRI,14,2.0,1915.0,0
CARA,763,2.0,1915.0,0
CAREN,11,2.0,1915.0,0
CAREY,194,1.0,1915.0,0
CAREY,78,2.0,1915.0,0
CARI,46,2.0,1915.0,0
CARIN,5,2.0,1915.0,0
CARINA,85,2.0,1915.0,0
CARIS,11,2.0,1915.0,0
CARISSA,295,2.0,1915.0,0
CARL,1808,1.0,1915.0,9
CARLA,1381,2.0,1915.0,0
CARLEE,94,2.0,1915.0,0
CARLEEN,11,2.0,1915.0,0
CARLEIGH,15,2.0,1915.0,0
CARLENE,80,2.0,1915.0,0
CARLEY,265,2.0,1915.0,0
CARLI,96,2.0,1915.0,0
CARLIE,102,2.0,1915.0,0
CARLIN,12,1.0,1915.0,0
CARLING,17,2.0,1915.0,0
CARLO,90,1.0,1915.0,0
CARLOS,296,1.0,1915.0,0
CARLY,1381,2.0,1915.0,0
CARMAN,5,2.0,1915.0,0
CARMEL,16,2.0,1915.0,0
CARMELA,5,2.0,1915.0,0
